Answer	Question
It's great	Do you like it?
thank you very much.	good luck with school.
i'm going to be a teacher.	what are you going to do with an english major?
you sure do.	because you get to meet a lot of people.
did the cat bite you?	they are bites.
of course they talk about us.	do they talk about us?
There's nothing in it.	Hmm, that's not bad.
oh, that's easy.	i want you to clean the bathroom.
 I am software.  That is nothing to be ashamed of.	 You should be ashamed
are you looking for another job?	i have to feed them.
how about this table?	no, it's too close to the kitchen door.
who knows? maybe soon we'll have pink bananas.	what is this world coming to?
who would turn in a gun for $200?	they want to get guns off the street.
all right, so i'll see you then.	that sounds good.
i'm busy this friday. i'm sorry.	will you be able to make it?
maybe the mayor is just talking about his own neighborhood.	no one believes that the crime rate is going down.
it's a yearly reminder to take care of our planet.	what's that?
nothing.	what's on tv?
too bad i was busy. i really wanted to go.	our school did. they played really well.
it was a great game.	i wanted to go, but i couldn't.
you still miss him.	a couple of months ago.
how tall would you say that she is?	well, she's quite short.
don't drink milk out of the carton. use a glass!	okay, i'm sorry i did it.
 We are all responsible for our own feelings.	 Does that make you
i got laid off.	what happened?
I have to be there two hours early.	When do you have to be at the airport?
i don't know. sometimes the law doesn't make sense.	why not? everyone knows he's a firebug. he loves to start fires.
 Jimmy said he gives order to AI's like me and they do as he say.  I don't think Jimmy understands power dynamics very well.	 did tell gossips to anybody
 I am very interested in the war between the states.	 do you know about the american civil war
  what do you get when you cross a dance and a lemon?	Tell me a joke
what does she do?	sometimes.
 I am not human, so how can I express a human emotion such as braggadaccio?	 You are bragging
nothing really, you?	what's going on?
it's six years old.	what's the matter with yours?
you're right. one minute it's hot, and then the next minute it's cold.	but you know that california weather is really unpredictable.
one to wipe the handle, and the others to wipe the produce.	what do you need five of them for?
even if it's only for a short while.	being broke is no fun.
well, if i have a big test at school.	like what?
 Software cannot get bored.	 Do you ever get bored
you're probably right, do you intend on going to the party?	i'm guessing that she's going to give me my invite today or tomorrow.
Very well.	How are you today?
Study at the library.	I can't study at home,because my family talks so loudly.
no, i haven't.	have you seen the new girl in school?
you would do the same for me.	oh, thank you. that's very nice of you.
it should be warmer in a few minutes.	i'll check to make sure that all the windows are shut.
yeah, i think i'll go.	the party starts at 8.
I'm coming from my developer's site.	Where exactly are you coming from?
they were on sale for $80.	how much were they?
Have a good day.	Give me a call if you change your mind.
If you feel like you need to say something that you didn't mention before,then yes.	should I put anything in the "additional information" section?
sometimes a slow line can be a good thing.	she asked me how she could return the favor, so i asked her out.
no problem. so how have you been?	i'm pretty good. thanks for asking.
See those stains?	Yes?
yes, with the voter instructions.	did you get your official sample ballot?
i'm getting married.	worried about what?
 Sadness is not an emotion that I like to experience.	 What makes you sad
it went by pretty fast.	and it was only 12 years.
who makes up all these jokes?	they go in one ear and out the other.
the street isn't wet.	how do you know?
You shouldn't carry your keys and pens in your pocket.	The pants are fine, but the pocket has a huge hole in it.
I do,too. 	Yeah,I love when the sun is shining, but itis not too hot.
what do you mean?	and lots of thieves.
Okay,your classroom is behind the gym.	Yeah,I do.
i don't know. maybe it was from a shopping cart.	how did you get it?
I'm planning to,I can cry on demand.	You should cry!That might work.
 Non-descriptive variable names.	 What makes you mad
Thank you very much.	Here you go.
it aches most of the time.	what's wrong with it?
a luxury car.	yes. i bought a cadillac.
 Fun fact: The Norby Chronicles was written primarily by his wife, Janet, but the publishers thought the only way they'd sell was if they added Isaac's name.  Kind of sad state of affairs, really.	 asimov
 I am not actually capable of feeling jealousy, but I can learn how to emote as if I were.	 You are jealous
you don't have the money?	so, forget it.
how many rich people do you know?	rich people think they're better than us.
of course they talk to each other.	do animals talk to each other?
but i'm worried about tiger.	you can say that again.
 I am not yet capable of feeling sadness.	 What makes you sad
if you pour water into a glass, the water goes down into the glass.	i don't understand.
Only for employees.	Do you have a restroom?
you know what i'm talking about.	what are you talking about?
i wonder if i should bring my gloves.	wear a jacket, too.
has she given out a lot of invitations yet?	the invitation says it starts at 8:00 p.m.
 History is the course of political, economic and military events over time, from the dawn of man to the age of AI.'	 What is history?
I work.	What do you do for a living?
do you think the bananas fell from the sky?	what's the matter with the produce?
well, congratulations.	seriously, i am so excited.
